tundra,tundra,taiga,taiga,Temp_deciduous_forest,Temp_deciduous_forest,temp_grassland_desert,temp_grassland_desert,Savanna,Savanna,Subtropical_desert,Subtropical_desert,Tropical_seasonal_forest,Tropical_seasonal_forest,Tropical_rainforest,Tropical_rainforest,temperate_coniferous_forest,temperate_coniferous_forest
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-14.49388209,15.36723164,-2.703003337,121.5819209,3.83759733,161.8079096,-7.641824249,7.683615819,19.63292547,125.6497175,-7.86429366,6.779661017,19.810901,233.6723164,19.810901,233.220339,3.793103448,160.9039548
-14.2269188,19.88700565,-1.590656285,138.3050847,4.638487208,176.7231638,-6.351501669,16.27118644,29.44382647,106.6666667,15.62847608,29.83050847,19.63292547,125.6497175,21.27919911,345.3107345,3.926585095,173.559322
-13.78197998,23.95480226,-0.43381535,151.8644068,5.127919911,184.4067797,-3.236929922,29.83050847,29.37708565,99.88700565,21.45717464,33.44632768,29.42157953,107.1186441,23.10344828,388.700565,4.416017798,183.0508475
-13.11457175,27.11864407,0.85650723,164.9717514,5.483870968,188.4745763,0.367074527,40.2259887,29.243604,91.29943503,22.52502781,34.80225989,28.70967742,279.7740113,23.32591769,393.6723164,4.905450501,192.5423729
-12.35817575,28.47457627,2.413793103,182.1468927,6.59621802,194.3502825,3.125695217,51.07344633,29.06562848,82.71186441,23.77085651,37.06214689,28.39822024,274.3502825,23.41490545,398.6440678,5.52836485,204.7457627
-11.64627364,30.96045198,3.748609566,194.3502825,11.93548387,211.9774011,7.085650723,71.41242938,28.93214683,75.02824859,24.83870968,39.7740113,28.22024472,269.8305085,23.63737486,406.3276836,6.729699666,214.6892655
-11.06785317,33.89830508,5.483870968,204.7457627,19.76640712,234.1242938,11.80200222,96.72316384,28.70967742,67.79661017,25.7730812,42.93785311,28.04226919,266.2146893,23.77085651,410.8474576,8.598442714,226.440678
-10.40044494,36.61016949,4.505005562,187.5706215,19.54393771,128.8135593,19.54393771,127.4576271,28.48720801,64.18079096,26.39599555,47.00564972,27.64182425,262.1468927,23.90433815,416.9491525,9.977753059,235.9322034
-9.733036707,41.1299435,3.748609566,160.4519774,11.84649611,97.17514124,19.49944383,99.43502825,28.2647386,60.11299435,27.15239155,51.07344633,27.33036707,258.9830508,24.06006674,423.0508475,11.40155729,244.9717514
